,County,Income per Capita,Population,Doses,Doses per Capita
516,"Muscogee, GA",45352,195769,,
517,"Newton, GA",34696,111744,,
518,"Oconee, GA",67845,40280,,
519,"Oglethorpe, GA",36698,15259,,
520,"Paulding, GA",38978,168667,,
521,"Peach, GA",39336,27546,,
522,"Pickens, GA",48493,32591,,
523,"Pierce, GA",37486,19465,,
524,"Pike, GA",41401,18962,,
525,"Polk, GA",34055,42613,,
526,"Pulaski, GA",31603,11137,,
527,"Putnam, GA",44643,22119,,
528,"Quitman, GA",31466,2299,,
529,"Rabun, GA",41058,17137,,
530,"Randolph, GA",35186,6778,,
531,"Richmond, GA",39370,202518,,
532,"Rockdale, GA",36138,90896,,
533,"Schley, GA",33044,5257,,
534,"Screven, GA",35346,13966,,
535,"Seminole, GA",47527,8090,,
536,"Spalding, GA",35740,66703,,
537,"Stephens, GA",39335,25925,,
538,"Stewart, GA",23081,6621,,
539,"Sumter, GA",37936,29524,,
540,"Talbot, GA",35705,6195,,
541,"Taliaferro, GA",37088,1537,,
542,"Tattnall, GA",29106,25286,,
543,"Taylor, GA",32801,8020,,
544,"Telfair, GA",21535,15860,,
545,"Terrell, GA",43654,8531,,
546,"Thomas, GA",46223,44451,,
547,"Tift, GA",39317,40644,,
548,"Toombs, GA",37143,26830,,
549,"Towns, GA",39181,12037,,
550,"Treutlen, GA",29682,6901,,
551,"Troup, GA",37690,69922,,
552,"Turner, GA",36836,7985,,
553,"Twiggs, GA",43163,8120,,
554,"Union, GA",37588,24511,,
555,"Upson, GA",36653,26320,,
556,"Walker, GA",34078,69761,,
557,"Walton, GA",42406,94593,,
558,"Ware, GA",34915,35734,,
559,"Warren, GA",36427,5254,,
560,"Washington, GA",36321,20374,,
561,"Wayne, GA",32633,29927,,
562,"Webster, GA",34700,2607,,
563,"Wheeler, GA",19472,7855,,
564,"White, GA",35238,30798,,
565,"Whitfield, GA",39927,104628,,
566,"Wilcox, GA",29334,8635,,
567,"Wilkes, GA",42644,9777,,
568,"Wilkinson, GA",37011,8954,,
569,"Worth, GA",36974,20247,,
570,"Hawaii, HI",43578,201513,,
571,"Honolulu, HI",61174,974563,,
572,"Kauai, HI",51545,72293,,
573,"Maui + Kalawao, HI*",51348,167503,,
574,"Ada, ID",54896,481587,,
575,"Adams, ID",39038,4294,,
576,"Bannock, ID",39246,87808,,
577,"Bear Lake, ID",43103,6125,,
578,"Benewah, ID",39695,9298,,
579,"Bingham, ID",37909,46811,,
580,"Blaine, ID",117097,23021,,
581,"Boise, ID",43320,7831,,
582,"Bonner, ID",42277,45739,,
583,"Bonneville, ID",50114,119062,,
584,"Boundary, ID",38142,12245,,
585,"Butte, ID",44828,2597,,
586,"Camas, ID",47417,1106,,
587,"Canyon, ID",34446,229849,,
588,"Caribou, ID",42527,7155,,
589,"Cassia, ID",49712,24030,,
590,"Clark, ID",41622,845,,
591,"Clearwater, ID",36805,8756,,
592,"Custer, ID",43920,4315,,
593,"Elmore, ID",40585,27511,,
594,"Franklin, ID",37293,13876,,
595,"Fremont (includes Yellowstone Park), ID",37953,13099,,
596,"Gem, ID",39382,18112,,
597,"Gooding, ID",61715,15179,,
598,"Idaho, ID",35946,16667,,
599,"Jefferson, ID",37025,29871,,
600,"Jerome, ID",40190,24412,,
601,"Kootenai, ID",46645,165697,,
602,"Latah, ID",41833,40108,,
603,"Lemhi, ID",44199,8027,,
604,"Lewis, ID",49643,3838,,
605,"Lincoln, ID",41610,5366,,
606,"Madison, ID",28780,39907,,
607,"Minidoka, ID",41421,21039,,
608,"Nez Perce, ID",47200,40408,,
609,"Oneida, ID",39523,4531,,
610,"Owyhee, ID",39409,11823,,
611,"Payette, ID",41890,23951,,
612,"Power, ID",43313,7681,,
613,"Shoshone, ID",36793,12882,,
614,"Teton, ID",40911,12142,,
615,"Twin Falls, ID",42379,86878,,
616,"Valley, ID",51088,11392,,
617,"Washington, ID",36292,10194,,
618,"Adams, IL",47898,65435,,
619,"Alexander, IL",37723,5761,,
